DOMAINNAME, SPF, DMARC
"adobe.com", "v=spf1 ip4:192.150.19.146 ip4:192.150.11.66 ip4:192.150.11.134 ip4:193.104.215.16 ip4:193.104.215.18 ip4:23.23.191.130 ip4:174.129.221.39 ip4:54.81.114.235 ip4:54.64.100.187 ip4:54.69.117.153 ip4:54.77.92.124 ip4:54.64.227.212 include:spf1.adobe.com -all", "v=DMARC1; p=none; pct=100; rua=mailto:adobe@rua.agari.com; ruf=mailto:adobe@ruf.agari.com; fo=1"
"weather.com", "v=spf1 mx ip4:96.8.80.136 ip4:96.8.80.135 ip4:96.8.82.135 ip4:96.8.84.135 ip4:96.8.88.240 ip4:208.106.251.89 ip4:65.212.71.11 include:_spf.google.com include:authsmtp.com include:amazonses.com include:mktomail.com ~all", ""
"craigslist.org", "v=spf1 ip4:208.82.236.96/28 ip4:208.82.238.96/28 -all", "v=DMARC1; p=none; rua=mailto:34ndygfl@ag.dmarcian.com;"
"playbuzz.com", "v=spf1 include:mail.zendesk.com include:_spf.google.com ~all", ""
"whitepages.com", "v=spf2.0/pra ip4:74.203.49.41 a:bounce.whitepagesplus.com ip4:64.24.61.0/24 include:w3data1.wc09.net ip4:216.156.139.132/27 mx ~all", ""
"blogspot.com", "v=spf1 ?all", "v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com"
"urbandictionary.com", "v=spf1 include:servers.mcsv.net include:helpscoutemail.com include:pobox.com ~all", ""
"wayfair.com", "v=spf1 ip4:209.202.142.3 ip4:162.208.32.6 ip4:162.208.32.7 ip4:162.208.32.8 ip4:162.208.32.9 ip4:162.208.34.6 ip4:162.208.34.7 include:_spf.go.net-results.com -all", ""
"usmagazine.com", "", ""
"walmart.com", "v=spf1 a mx ip4:131.124.4.20 ip4:161.170.248.175 ip4:161.170.244.198 ip4:64.127.107.20 ip4:161.170.248.0/24 ip4:161.170.244.0/24 ip4:161.170.236.31 ip4:161.170.238.31 ip4:161.170.241.16/30 ip4:161.170.245.0/24  ip4:161.170.249.0/24 include:wal-mart.com ~all", "v=DMARC1; p=none; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net"
"vimeo.com", "v=spf1 a mx ptr ip4:74.113.232.150 ip4:74.113.232.149 ip4:74.113.232.193 ip4:74.113.236.106 ip4:74.113.233.227 include:iac.com -all", "v=DMARC1; p=none; fo=1; rua=mailto:vimeo@rua.agari.com;ruf=mailto:vimeo@ruf.agari.com"
"nydailynews.com", "", ""
"conservativetribune.com", "", ""
"nytimes.com", "v=spf1 mx ptr ip4:170.149.160.0/19 include:alerts.wallst.com include:authsmtp.com include:sendgrid.net include:_spf.google.com include:inyt.com ~all", "v=DMARC1; p=none; rua=mailto:paperboydmarcrua@lga2.nytimes.com; ruf=mailto:paperboydmarcruf@lga2.nytimes.com;"
"ask.com", "v=spf1 ip4:208.185.199.15 ip4:216.112.252.7 ip4:216.112.252.205 ip4:216.112.252.45 ip4:216.112.252.10 ip4:206.80.1.113 include:iac.com -all", ""
"legacy.com", "v=spf1 include:spf.protection.outlook.com -all", ""
"bustle.com", "", ""
"stackexchange.com", "v=spf1 a mx ip4:198.252.206.0/24 ip4:69.59.197.0/26 ip4:192.111.0.0/24 include:cmail1.com include:_spf.google.com include:mailgun.org ~all", ""
"mozilla.org", "v=spf1 include:_spf.mozilla.com include:_spf.google.com ~all", ""
LINESREAD, 45
YES-SPF, 38, 0.8444
YES-DMARC, 24, 0.5333
